As of,Rank,Year to Date Rank,Last Week Rank,Title,Type,Netflix Exclusive,Netflix Release Date,Days In Top 10,Viewership Score
2021-11-30,5,5,-,A Castle for Christmas,Movie,Yes,"Nov 26, 2021",4,23
2021-11-30,6,10,-,School of Chocolate,TV Show,Yes,"Nov 26, 2021",3,7
2021-11-30,7,7,1,Cowboy Bebop,TV Show,Yes,"Nov 19, 2021",11,73
2021-11-30,8,6,2,Red Notice,Movie,Yes,"Nov 12, 2021",18,153
2021-11-30,9,9,-,A Boy Called Christmas,Movie,Yes,"Nov 24, 2021",6,18
2021-11-30,10,-,9,Cocomelon,TV Show,,"Jun 1, 2020",388,1351
2021-12-01,1,1,-,True Story,TV Show,Yes,"Nov 24, 2021",7,70
2021-12-01,2,3,3,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",14,87
2021-12-01,3,2,-,Selling Sunset,TV Show,Yes,"Mar 22, 2019",14,79
2021-12-01,4,4,-,Bruised,Movie,Yes,"Nov 24, 2021",7,59
2021-12-01,5,6,-,School of Chocolate,TV Show,Yes,"Nov 26, 2021",4,13
2021-12-01,6,5,-,A Castle for Christmas,Movie,Yes,"Nov 26, 2021",5,28
2021-12-01,7,7,1,Cowboy Bebop,TV Show,Yes,"Nov 19, 2021",12,77
2021-12-01,8,8,2,Red Notice,Movie,Yes,"Nov 12, 2021",19,156
2021-12-01,9,10,7,Cocomelon,TV Show,,"Jun 1, 2020",389,1353
2021-12-01,10,9,-,A Boy Called Christmas,Movie,Yes,"Nov 24, 2021",7,19
2021-12-02,1,-,-,Lost in Space,TV Show,Yes,"Apr 13, 2018",1,10
2021-12-02,2,1,1,True Story,TV Show,Yes,"Nov 24, 2021",8,79
2021-12-02,3,-,-,The Power of the Dog,Movie,Yes,"Dec 1, 2021",1,8
2021-12-02,4,2,6,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",15,94
2021-12-02,5,3,3,Selling Sunset,TV Show,Yes,"Mar 22, 2019",15,85
2021-12-02,6,-,-,Jojoâs Bizarre Adventure,TV Show,,"Mar 8, 2019",1,5
2021-12-02,7,-,-,Life,Movie,,"Dec 1, 2021",1,4
2021-12-02,8,5,-,School of Chocolate,TV Show,Yes,"Nov 26, 2021",5,16
2021-12-02,9,4,2,Bruised,Movie,Yes,"Nov 24, 2021",8,61
2021-12-02,10,6,-,A Castle for Christmas,Movie,Yes,"Nov 26, 2021",6,29
2021-12-03,1,1,-,Lost in Space,TV Show,Yes,"Apr 13, 2018",2,20
2021-12-03,2,2,1,True Story,TV Show,Yes,"Nov 24, 2021",9,88
2021-12-03,3,3,-,The Power of the Dog,Movie,Yes,"Dec 1, 2021",2,16
2021-12-03,4,4,7,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",16,101
2021-12-03,5,5,4,Selling Sunset,TV Show,Yes,"Mar 22, 2019",16,91
2021-12-03,6,7,-,Life,Movie,,"Dec 1, 2021",2,9
2021-12-03,7,-,-,Single all the Way,Movie,Yes,"Dec 2, 2021",1,4
2021-12-03,8,-,-,Cocomelon,TV Show,,"Jun 1, 2020",390,1356
2021-12-03,9,8,-,School of Chocolate,TV Show,Yes,"Nov 26, 2021",6,18
2021-12-03,10,10,-,A Castle for Christmas,Movie,Yes,"Nov 26, 2021",7,30
2021-12-04,1,-,-,Money Heist,TV Show,Yes,"Dec 20, 2017",26,155
2021-12-04,2,1,-,Lost in Space,TV Show,Yes,"Apr 13, 2018",3,29
2021-12-04,3,3,-,The Power of the Dog,Movie,Yes,"Dec 1, 2021",3,24
2021-12-04,4,2,1,True Story,TV Show,Yes,"Nov 24, 2021",10,95
2021-12-04,5,-,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",25,153
2021-12-04,6,4,6,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",17,106
2021-12-04,7,5,3,Selling Sunset,TV Show,Yes,"Mar 22, 2019",17,95
2021-12-04,8,6,-,Life,Movie,,"Dec 1, 2021",3,12
2021-12-04,9,8,-,Cocomelon,TV Show,,"Jun 1, 2020",391,1358
2021-12-04,10,7,-,Single all the Way,Movie,Yes,"Dec 2, 2021",2,5
2021-12-05,1,1,-,Money Heist,TV Show,Yes,"Dec 20, 2017",27,165
2021-12-05,2,2,-,Lost in Space,TV Show,Yes,"Apr 13, 2018",4,38
2021-12-05,3,4,1,True Story,TV Show,Yes,"Nov 24, 2021",11,103
2021-12-05,4,3,-,The Power of the Dog,Movie,Yes,"Dec 1, 2021",4,31
2021-12-05,5,5,-,Jurassic World: Camp Cretac…,TV Show,Yes,"Sep 18, 2020",26,159
2021-12-05,6,6,5,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",18,111
2021-12-05,7,8,-,Life,Movie,,"Dec 1, 2021",4,16
2021-12-05,8,10,-,Single All the Way,Movie,Yes,"Dec 2, 2021",3,8
2021-12-05,9,-,4,Red Notice,Movie,Yes,"Nov 12, 2021",20,158
2021-12-05,10,7,3,Selling Sunset,TV Show,Yes,"Mar 22, 2019",18,96
2021-12-06,1,1,-,Money Heist,TV Show,Yes,"Dec 20, 2017",28,175
2021-12-06,2,2,-,Lost in Space,TV Show,Yes,"Apr 13, 2018",5,47
2021-12-06,3,3,1,True Story,TV Show,Yes,"Nov 24, 2021",12,111
2021-12-06,4,6,4,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",19,118
2021-12-06,5,4,-,The Power of the Dog,Movie,Yes,"Dec 1, 2021",5,37
2021-12-06,6,5,-,Jurassic World Camp Cretaceous,TV Show,Yes,"Sep 18, 2020",27,164
2021-12-06,7,8,-,Single All the Way,Movie,Yes,"Dec 2, 2021",4,12
2021-12-06,8,7,-,Life,Movie,,"Dec 1, 2021",5,19
2021-12-06,9,10,3,Selling Sunset,TV Show,Yes,"Mar 22, 2019",19,98
2021-12-06,10,9,6,Red Notice,Movie,Yes,"Nov 12, 2021",21,159
2021-12-07,1,1,-,Money Heist,TV Show,Yes,"Dec 20, 2017",29,185
2021-12-07,2,2,-,Lost in Space,TV Show,Yes,"Apr 13, 2018",6,56
2021-12-07,3,4,3,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",20,126
2021-12-07,4,3,1,True Story,TV Show,Yes,"Nov 24, 2021",13,118
2021-12-07,5,-,10,Cocomelon,TV Show,,"Jun 1, 2020",392,1364
2021-12-07,6,9,2,Selling Sunset,TV Show,Yes,"Mar 22, 2019",20,103
2021-12-07,7,6,-,Jurassic World Camp Cretaceous,TV Show,Yes,"Sep 18, 2020",28,168
2021-12-07,8,5,-,The Power of the Dog,Movie,Yes,"Dec 1, 2021",6,40
2021-12-07,9,8,-,Life,Movie,,"Dec 1, 2021",6,21
2021-12-07,10,7,-,Single All the Way,Movie,Yes,"Dec 2, 2021",5,13
2021-12-08,1,1,-,Money Heist,TV Show,Yes,"Dec 20, 2017",30,195
2021-12-08,2,2,-,Lost in Space,TV Show,Yes,"Apr 13, 2018",7,65
2021-12-08,3,3,2,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",21,134
2021-12-08,4,4,1,True Story,TV Show,Yes,"Nov 24, 2021",14,125
2021-12-08,5,5,9,Cocomelon,TV Show,,"Jun 1, 2020",393,1370
2021-12-08,6,6,3,Selling Sunset,TV Show,Yes,"Mar 22, 2019",21,108
2021-12-08,7,8,-,The Power of the Dog,Movie,Yes,"Dec 1, 2021",7,44
2021-12-08,8,7,-,Jurassic World Camp Cretaceous,TV Show,Yes,"Sep 18, 2020",29,171
2021-12-08,9,9,-,Life,Movie,,"Dec 1, 2021",7,23
2021-12-08,10,-,-,Ink Master,TV Show,,"Sep 15, 2014",1,1
2021-12-09,1,1,-,Money Heist,TV Show,Yes,"Dec 20, 2017",31,205
2021-12-09,2,2,1,Lost in Space,TV Show,Yes,"Apr 13, 2018",8,74
2021-12-09,3,3,4,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",22,142
2021-12-09,4,4,2,True Story,TV Show,Yes,"Nov 24, 2021",15,132
2021-12-09,5,5,-,Cocomelon,TV Show,,"Jun 1, 2020",394,1376
2021-12-09,6,6,5,Selling Sunset,TV Show,Yes,"Mar 22, 2019",22,113
2021-12-09,7,-,-,Law Abiding Citizen,Movie,,"Dec 16, 2018",1,4
2021-12-09,8,10,-,Ink Master,TV Show,,"Sep 15, 2014",2,4
2021-12-09,9,8,-,Jurassic World Camp Cretaceous,TV Show,Yes,"Sep 18, 2020",30,173
2021-12-09,10,7,3,The Power of the Dog,Movie,Yes,"Dec 1, 2021",8,45
2021-12-10,1,1,-,Money Heist,TV Show,Yes,"Dec 20, 2017",32,215
2021-12-10,2,2,1,Lost in Space,TV Show,Yes,"Apr 13, 2018",9,83
2021-12-10,3,3,4,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",23,150
2021-12-10,4,-,-,Peter Rabbit 2,Movie,,"Dec 9, 2021",1,7
2021-12-10,5,5,8,Cocomelon,TV Show,,"Jun 1, 2020",395,1382
2021-12-10,6,4,2,True Story,TV Show,Yes,"Nov 24, 2021",16,137
2021-12-10,7,7,-,Law Abiding Citizen,Movie,,"Dec 16, 2018",2,8
2021-12-10,8,8,-,Ink Master,TV Show,,"Sep 15, 2014",3,7
2021-12-10,9,6,5,Selling Sunset,TV Show,Yes,"Mar 22, 2019",23,115
2021-12-10,10,9,-,Jurassic World Camp Cretaceous,TV Show,Yes,"Sep 18, 2020",31,174
2021-12-11,1,-,-,The Unforgivable,Movie,Yes,"Dec 10, 2021",1,10
2021-12-11,2,2,2,Lost in Space,TV Show,Yes,"Apr 13, 2018",10,92
2021-12-11,3,3,6,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",24,158
2021-12-11,4,1,1,Money Heist,TV Show,Yes,"Dec 20, 2017",33,222
2021-12-11,5,4,-,Peter Rabbit 2,Movie,,"Dec 9, 2021",2,13
2021-12-11,6,5,9,Cocomelon,TV Show,,"Jun 1, 2020",396,1387
2021-12-11,7,7,-,Law Abiding Citizen,Movie,,"Dec 16, 2018",3,12
2021-12-11,8,-,-,Back to the Outback,Movie,Yes,"Dec 10, 2021",1,3
2021-12-11,9,6,4,True Story,TV Show,Yes,"Nov 24, 2021",17,139
2021-12-11,10,-,-,Red Notice,Movie,Yes,"Nov 12, 2021",22,160
2021-12-12,1,1,-,The Unforgivable,Movie,Yes,"Dec 10, 2021",2,20
2021-12-12,2,-,-,The Shack,Movie,,"Dec 10, 2021",1,9
2021-12-12,3,2,2,Lost in Space,TV Show,Yes,"Apr 13, 2018",11,100
2021-12-12,4,8,-,Back to the Outback,Movie,Yes,"Dec 10, 2021",2,10
2021-12-12,5,4,1,Money Heist,TV Show,Yes,"Dec 20, 2017",34,228
2021-12-12,6,3,6,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",25,163
2021-12-12,7,7,-,Law Abiding Citizen,Movie,,"Dec 16, 2018",4,16
2021-12-12,8,5,-,Peter Rabbit 2,Movie,,"Dec 9, 2021",3,16
2021-12-12,9,10,9,Red Notice,Movie,Yes,"Nov 12, 2021",23,162
2021-12-12,10,6,-,Cocomelon,TV Show,,"Jun 1, 2020",397,1388
2021-12-13,1,1,-,The Unforgivable,Movie,Yes,"Dec 10, 2021",3,30
2021-12-13,2,2,-,The Shack,Movie,,"Dec 10, 2021",2,18
2021-12-13,3,4,-,Back to the Outback,Movie,Yes,"Dec 10, 2021",3,18
2021-12-13,4,3,2,Lost in Space,TV Show,Yes,"Apr 13, 2018",12,107
2021-12-13,5,6,4,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",26,169
2021-12-13,6,5,1,Money Heist,TV Show,Yes,"Dec 20, 2017",35,233
2021-12-13,7,7,-,Law Abiding Citizen,Movie,,"Dec 16, 2018",5,20
2021-12-13,8,8,-,Peter Rabbit 2,Movie,,"Dec 9, 2021",4,19
2021-12-13,9,-,-,Twentysomethings: Austin,TV Show,Yes,"Dec 10, 2021",1,2
2021-12-13,10,-,-,The Witcher,TV Show,Yes,"Dec 20, 2019",1,1
2021-12-14,1,1,-,The Unforgivable,Movie,Yes,"Dec 10, 2021",4,40
2021-12-14,2,2,-,The Shack,Movie,,"Dec 10, 2021",3,27
2021-12-14,3,3,-,Back to the Outback,Movie,Yes,"Dec 10, 2021",4,26
2021-12-14,4,5,3,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",27,176
2021-12-14,5,4,2,Lost in Space,TV Show,Yes,"Apr 13, 2018",13,113
2021-12-14,6,10,-,The Witcher,TV Show,Yes,"Dec 20, 2019",2,6
2021-12-14,7,7,-,Law Abiding Citizen,Movie,,"Dec 16, 2018",6,24
2021-12-14,8,6,1,Money Heist,TV Show,Yes,"Dec 20, 2017",36,236
2021-12-14,9,-,5,Cocomelon,TV Show,,"Jun 1, 2020",398,1390
2021-12-14,10,9,-,Twentysomethings: Austin,TV Show,Yes,"Dec 10, 2021",2,3
2021-12-15,1,1,-,The Unforgivable,Movie,Yes,"Dec 10, 2021",5,50
2021-12-15,2,2,-,The Shack,Movie,,"Dec 10, 2021",4,36
2021-12-15,3,3,-,Back to the Outback,Movie,Yes,"Dec 10, 2021",5,34
2021-12-15,4,4,3,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",28,183
2021-12-15,5,6,-,The Witcher,TV Show,Yes,"Dec 20, 2019",3,12
2021-12-15,6,5,2,Lost in Space,TV Show,Yes,"Apr 13, 2018",14,118
2021-12-15,7,7,-,Law Abiding Citizen,Movie,,"Dec 16, 2018",7,28
2021-12-15,8,9,5,Cocomelon,TV Show,,"Jun 1, 2020",399,1393
2021-12-15,9,8,1,Money Heist,TV Show,Yes,"Dec 20, 2017",37,238
2021-12-15,10,10,-,Twentysomethings: Austin,TV Show,Yes,"Dec 10, 2021",3,4
2021-12-16,1,1,-,The Unforgivable,Movie,Yes,"Dec 10, 2021",6,60
2021-12-16,2,2,-,The Shack,Movie,,"Dec 10, 2021",5,45
2021-12-16,3,-,-,Selling Tampa,TV Show,Yes,"Dec 15, 2021",1,8
2021-12-16,4,3,-,Back to the Outback,Movie,Yes,"Dec 10, 2021",6,41
2021-12-16,5,5,-,The Witcher,TV Show,Yes,"Dec 20, 2019",4,18
2021-12-16,6,4,3,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",29,188
2021-12-16,7,6,2,Lost in Space,TV Show,Yes,"Apr 13, 2018",15,122
2021-12-16,8,8,5,Cocomelon,TV Show,,"Jun 1, 2020",400,1396
2021-12-16,9,7,7,Law Abiding Citizen,Movie,,"Dec 16, 2018",8,30
2021-12-16,10,9,1,Money Heist,TV Show,Yes,"Dec 20, 2017",38,239
2021-12-17,1,1,-,The Unforgivable,Movie,Yes,"Dec 10, 2021",7,70
2021-12-17,2,-,-,A California Christmas: Cit…,Movie,Yes,"Dec 16, 2021",1,9
2021-12-17,3,3,-,Selling Tampa,TV Show,Yes,"Dec 15, 2021",2,16
2021-12-17,4,2,-,The Shack,Movie,,"Dec 10, 2021",6,52
2021-12-17,5,5,-,The Witcher,TV Show,Yes,"Dec 20, 2019",5,24
2021-12-17,6,4,-,Back to the Outback,Movie,Yes,"Dec 10, 2021",7,46
2021-12-17,7,6,3,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",30,192
2021-12-17,8,8,5,Cocomelon,TV Show,,"Jun 1, 2020",401,1399
2021-12-17,9,7,2,Lost in Space,TV Show,Yes,"Apr 13, 2018",16,124
2021-12-17,10,10,1,Money Heist,TV Show,Yes,"Dec 20, 2017",39,240
2021-12-18,1,5,-,The Witcher,TV Show,Yes,"Dec 20, 2019",6,34
2021-12-18,2,1,1,The Unforgivable,Movie,Yes,"Dec 10, 2021",8,79
2021-12-18,3,3,-,Selling Tampa,TV Show,Yes,"Dec 15, 2021",3,24
2021-12-18,4,2,-,A California Christmas: Cit…,Movie,Yes,"Dec 16, 2021",2,16
2021-12-18,5,6,8,Back to the Outback,Movie,Yes,"Dec 10, 2021",8,52
2021-12-18,6,4,-,The Shack,Movie,,"Dec 10, 2021",7,57
2021-12-18,7,7,3,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",31,196
2021-12-18,8,-,-,Twentysomethings: Austin,TV Show,Yes,"Dec 10, 2021",4,7
2021-12-18,9,8,6,Cocomelon,TV Show,,"Jun 1, 2020",402,1401
2021-12-18,10,9,2,Lost in Space,TV Show,Yes,"Apr 13, 2018",17,125
2021-12-19,1,1,-,The Witcher,TV Show,Yes,"Dec 20, 2019",7,44
2021-12-19,2,2,1,The Unforgivable,Movie,Yes,"Dec 10, 2021",9,88
2021-12-19,3,4,-,A California Christmas: Cit…,Movie,Yes,"Dec 16, 2021",3,24
2021-12-19,4,3,-,Selling Tampa,TV Show,Yes,"Dec 15, 2021",4,31
2021-12-19,5,5,4,Back to the Outback,Movie,Yes,"Dec 10, 2021",9,58
2021-12-19,6,6,2,The Shack,Movie,,"Dec 10, 2021",8,62
2021-12-19,7,8,-,Twentysomethings: Austin,TV Show,Yes,"Dec 10, 2021",5,11
2021-12-19,8,7,6,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",32,199
2021-12-19,9,9,10,Cocomelon,TV Show,,"Jun 1, 2020",403,1403
2021-12-19,10,10,3,Lost in Space,TV Show,Yes,"Apr 13, 2018",18,126
2021-12-20,1,1,10,The Witcher,TV Show,Yes,"Dec 20, 2019",8,54
2021-12-20,2,2,1,The Unforgivable,Movie,Yes,"Dec 10, 2021",10,97
2021-12-20,3,3,-,A California Christmas: Cit…,Movie,Yes,"Dec 16, 2021",4,32
2021-12-20,4,5,3,Back to the Outback,Movie,Yes,"Dec 10, 2021",10,65
2021-12-20,5,4,-,Selling Tampa,TV Show,Yes,"Dec 15, 2021",5,37
2021-12-20,6,7,9,Twentysomethings: Austin,TV Show,Yes,"Dec 10, 2021",6,16
2021-12-20,7,6,2,The Shack,Movie,,"Dec 10, 2021",9,66
2021-12-20,8,8,5,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",33,202
2021-12-20,9,9,-,Cocomelon,TV Show,,"Jun 1, 2020",404,1405
2021-12-20,10,10,4,Lost in Space,TV Show,Yes,"Apr 13, 2018",19,127
2021-12-21,1,1,6,The Witcher,TV Show,Yes,"Dec 20, 2019",9,64
2021-12-21,2,2,1,The Unforgivable,Movie,Yes,"Dec 10, 2021",11,106
2021-12-21,3,4,3,Back to the Outback,Movie,Yes,"Dec 10, 2021",11,73
2021-12-21,4,5,-,Selling Tampa,TV Show,Yes,"Dec 15, 2021",6,44
2021-12-21,5,8,4,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",34,208
2021-12-21,6,3,-,A California Christmas: Cit…,Movie,Yes,"Dec 16, 2021",5,37
2021-12-21,7,6,10,Twentysomethings: Austin,TV Show,Yes,"Dec 10, 2021",7,20
2021-12-21,8,9,9,Cocomelon,TV Show,,"Jun 1, 2020",405,1408
2021-12-21,9,7,2,The Shack,Movie,,"Dec 10, 2021",10,68
2021-12-21,10,10,5,Lost in Space,TV Show,Yes,"Apr 13, 2018",20,128
2021-12-22,1,1,5,The Witcher,TV Show,Yes,"Dec 20, 2019",10,74
2021-12-22,2,2,1,The Unforgivable,Movie,Yes,"Dec 10, 2021",12,115
2021-12-22,3,3,3,Back to the Outback,Movie,Yes,"Dec 10, 2021",12,81
2021-12-22,4,5,4,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",35,215
2021-12-22,5,4,-,Selling Tampa,TV Show,Yes,"Dec 15, 2021",7,50
2021-12-22,6,8,8,Cocomelon,TV Show,,"Jun 1, 2020",406,1413
2021-12-22,7,7,10,Twentysomethings: Austin,TV Show,Yes,"Dec 10, 2021",8,24
2021-12-22,8,-,-,Grumpy Christmas,Movie,Yes,"Dec 21, 2021",1,3
2021-12-22,9,6,-,A California Christmas: Cit…,Movie,Yes,"Dec 16, 2021",6,39
2021-12-22,10,10,6,Lost in Space,TV Show,Yes,"Apr 13, 2018",21,129
2021-12-23,1,1,5,The Witcher,TV Show,Yes,"Dec 20, 2019",11,84
2021-12-23,2,-,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",22,166
2021-12-23,3,2,1,The Unforgivable,Movie,Yes,"Dec 10, 2021",13,123
2021-12-23,4,3,4,Back to the Outback,Movie,Yes,"Dec 10, 2021",13,88
2021-12-23,5,4,6,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",36,221
2021-12-23,6,6,8,Cocomelon,TV Show,,"Jun 1, 2020",407,1418
2021-12-23,7,5,3,Selling Tampa,TV Show,Yes,"Dec 15, 2021",8,54
2021-12-23,8,-,-,The Christmas Chronicles,Movie,Yes,"Nov 22, 2018",9,26
2021-12-23,9,7,-,Twentysomethings: Austin,TV Show,Yes,"Dec 10, 2021",9,26
2021-12-23,10,10,7,Lost in Space,TV Show,Yes,"Apr 13, 2018",22,130
2021-12-24,1,1,5,The Witcher,TV Show,Yes,"Dec 20, 2019",12,94
2021-12-24,2,2,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",23,175
2021-12-24,3,3,1,The Unforgivable,Movie,Yes,"Dec 10, 2021",14,131
2021-12-24,4,4,6,Back to the Outback,Movie,Yes,"Dec 10, 2021",14,95
2021-12-24,5,8,-,The Christmas Chronicles,Movie,Yes,"Nov 22, 2018",10,32
2021-12-24,6,6,8,Cocomelon,TV Show,,"Jun 1, 2020",408,1423
2021-12-24,7,5,7,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",37,225
2021-12-24,8,-,-,WWII in Color: Road to Victory,TV Show,Yes,"Dec 22, 2021",1,3
2021-12-24,9,7,3,Selling Tampa,TV Show,Yes,"Dec 15, 2021",9,56
2021-12-24,10,-,-,The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",22,122
2021-12-25,1,-,-,Donât Look Up,Movie,Yes,"Dec 24, 2021",1,10
2021-12-25,2,1,1,The Witcher,TV Show,Yes,"Dec 20, 2019",13,103
2021-12-25,3,2,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",24,183
2021-12-25,4,5,-,The Christmas Chronicles,Movie,Yes,"Nov 22, 2018",11,39
2021-12-25,5,10,-,The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",23,128
2021-12-25,6,3,2,The Unforgivable,Movie,Yes,"Dec 10, 2021",15,136
2021-12-25,7,4,5,Back to the Outback,Movie,Yes,"Dec 10, 2021",15,99
2021-12-25,8,-,-,A Boy Called Christmas,Movie,Yes,"Nov 24, 2021",8,22
2021-12-25,9,6,9,Cocomelon,TV Show,,"Jun 1, 2020",409,1425
2021-12-25,10,-,-,White Christmas,Movie,,"Nov 15, 2020",1,1
2021-12-26,1,1,-,Donât Look Up,Movie,Yes,"Dec 24, 2021",2,20
2021-12-26,2,2,1,The Witcher,TV Show,Yes,"Dec 20, 2019",14,112
2021-12-26,3,3,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",25,191
2021-12-26,4,4,-,The Christmas Chronicles,Movie,Yes,"Nov 22, 2018",12,46
2021-12-26,5,6,2,The Unforgivable,Movie,Yes,"Dec 10, 2021",16,142
2021-12-26,6,-,-,The Silent Sea,TV Show,Yes,"Dec 24, 2021",1,5
2021-12-26,7,5,-,The Christmas Chronicles 2,Movie,Yes,"Nov 25, 2020",24,132
2021-12-26,8,8,-,A Boy Called Christmas,Movie,Yes,"Nov 24, 2021",9,25
2021-12-26,9,-,8,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",38,227
2021-12-26,10,-,-,Daughter From Another Mother,TV Show,Yes,"Jan 20, 2021",1,1
2021-12-27,1,1,-,Donât Look Up,Movie,Yes,"Dec 24, 2021",3,30
2021-12-27,2,2,1,The Witcher,TV Show,Yes,"Dec 20, 2019",15,121
2021-12-27,3,3,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",26,199
2021-12-27,4,6,-,The Silent Sea,TV Show,Yes,"Dec 24, 2021",2,12
2021-12-27,5,5,2,The Unforgivable,Movie,Yes,"Dec 10, 2021",17,148
2021-12-27,6,9,8,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",39,232
2021-12-27,7,10,-,Daughter From Another Mother,TV Show,Yes,"Jan 20, 2021",2,5
2021-12-27,8,-,4,Back to the Outback,Movie,Yes,"Dec 10, 2021",16,102
2021-12-27,9,-,9,Cocomelon,TV Show,,"Jun 1, 2020",410,1427
2021-12-27,10,-,-,WWII in Color: Road to Victory,TV Show,Yes,"Dec 22, 2021",2,4
2021-12-28,1,1,-,Donât Look Up,Movie,Yes,"Dec 24, 2021",4,40
2021-12-28,2,2,1,The Witcher,TV Show,Yes,"Dec 20, 2019",16,130
2021-12-28,3,3,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",27,207
2021-12-28,4,4,-,The Silent Sea,TV Show,Yes,"Dec 24, 2021",3,19
2021-12-28,5,5,2,The Unforgivable,Movie,Yes,"Dec 10, 2021",18,154
2021-12-28,6,6,5,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",40,237
2021-12-28,7,-,-,Death to 2021,Movie,Yes,"Dec 27, 2021",1,4
2021-12-28,8,7,-,Daughter From Another Mother,TV Show,Yes,"Jan 20, 2021",3,8
2021-12-28,9,9,8,Cocomelon,TV Show,,"Jun 1, 2020",411,1429
2021-12-28,10,8,3,Back to the Outback,Movie,Yes,"Dec 10, 2021",17,103
2021-12-29,1,1,-,Donât Look Up,Movie,Yes,"Dec 24, 2021",5,50
2021-12-29,2,2,1,The Witcher,TV Show,Yes,"Dec 20, 2019",17,139
2021-12-29,3,3,-,Emily in Paris,TV Show,Yes,"Oct 2, 2020",28,215
2021-12-29,4,4,-,The Silent Sea,TV Show,Yes,"Dec 24, 2021",4,26
2021-12-29,5,5,2,The Unforgivable,Movie,Yes,"Dec 10, 2021",19,160
2021-12-29,6,6,4,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",41,242
2021-12-29,7,7,-,Death to 2021,Movie,Yes,"Dec 27, 2021",2,8
2021-12-29,8,9,6,Cocomelon,TV Show,,"Jun 1, 2020",412,1432
2021-12-29,9,10,3,Back to the Outback,Movie,Yes,"Dec 10, 2021",18,105
2021-12-29,10,8,-,Daughter From Another Mother,TV Show,Yes,"Jan 20, 2021",4,9
2021-12-30,1,1,-,Donât Look Up,Movie,Yes,"Dec 24, 2021",6,60
2021-12-30,2,2,1,The Witcher,TV Show,Yes,"Dec 20, 2019",18,148
2021-12-30,3,3,2,Emily in Paris,TV Show,Yes,"Oct 2, 2020",29,223
2021-12-30,4,-,-,Crime Scene: The Times Squa…,TV Show,Yes,"Dec 29, 2021",1,7
2021-12-30,5,4,-,The Silent Sea,TV Show,Yes,"Dec 24, 2021",5,32
2021-12-30,6,5,3,The Unforgivable,Movie,Yes,"Dec 10, 2021",20,165
2021-12-30,7,7,-,Death to 2021,Movie,Yes,"Dec 27, 2021",3,12
2021-12-30,8,6,5,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",42,245
2021-12-30,9,8,6,Cocomelon,TV Show,,"Jun 1, 2020",413,1434
2021-12-30,10,9,4,Back to the Outback,Movie,Yes,"Dec 10, 2021",19,106
2021-12-31,1,1,-,Donât Look Up,Movie,Yes,"Dec 24, 2021",7,70
2021-12-31,2,2,1,The Witcher,TV Show,Yes,"Dec 20, 2019",19,157
2021-12-31,3,3,2,Emily in Paris,TV Show,Yes,"Oct 2, 2020",30,231
2021-12-31,4,4,-,Crime Scene: The Times Squa…,TV Show,Yes,"Dec 29, 2021",2,14
2021-12-31,5,5,-,The Silent Sea,TV Show,Yes,"Dec 24, 2021",6,38
2021-12-31,6,6,3,The Unforgivable,Movie,Yes,"Dec 10, 2021",21,170
2021-12-31,7,8,7,The Queen of Flow,TV Show,Yes,"Nov 9, 2018",43,249
2021-12-31,8,9,6,Cocomelon,TV Show,,"Jun 1, 2020",414,1437
2021-12-31,9,10,4,Back to the Outback,Movie,Yes,"Dec 10, 2021",20,108
